"","<5","5-24","25-44","45-64",">65"
"2010_H1",115,235,158,104,41
"2011_H1",262,512,350,236,94
"2012_H1",12,22,15,10,4
"2013_H1",86,161,116,80,34
"2014_H1",123,218,158,111,51
"2015_H1",9,15,11,8,4
"2016_H1",165,292,212,152,75
"2017_H1",40,63,49,36,19
"2018_H1",76,130,100,74,38
"2019_H1",158,277,237,175,90
"2010_H3",265,484,329,264,109
"2011_H3",92,161,111,89,38
"2012_H3",523,882,626,502,221
"2013_H3",112,193,141,112,52
"2014_H3",133,218,160,128,66
"2015_H3",513,834,623,496,260
"2016_H3",140,232,169,134,75
"2017_H3",449,678,526,421,254
"2018_H3",26,41,32,26,15
"2019_H3",64,104,87,69,42
